id,no,gubun,group,ideology,party,chosun,hani,news_quality,agree_t1,agree_t2,bias,age,education,gender,valence,media_slant,ideology_discrete,economic_policy,involvement,media_trust,agree_diff,hmp_score
188,84,2,2,2,Minju Party,6,3,4,2,2,-0.2,4,5,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,5.5,2.5,0,0.3
189,85,2,2,3,Minju Party,6,2,3,5,5,-0.3,2,4,Male,Conservative-consistent,Liberal Media,Liberal,2.33333333333333,6,2,0,0.2
190,86,2,2,2,Minju Party,7,4,3,1,7,-0.1,1,5,Female,Conservative-consistent,Liberal Media,Liberal,5.66666666666667,6,3,6,0.4
191,88,2,2,4,Minju Party,7,5,4,1,2,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Moderate,4,6.5,1,1,
192,89,2,2,3,Independent,6,2,5,6,5,0.2,5,5,Female,Conservative-consistent,Liberal Media,Liberal,1.33333333333333,6.5,2.5,-1,0.7
193,90,2,2,2,Minju Party,7,7,1,1,1,0.5,2,4,Male,Conservative-consistent,Liberal Media,Liberal,5,6,1.75,0,1
194,91,2,2,3,Minju Party,7,2,5,2,2,-0.2,5,3,Female,Conservative-consistent,Liberal Media,Liberal,4,4,1.875,0,0.3
195,92,2,2,4,Independent,7,2,4,2,2,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Moderate,4.66666666666667,4,1.875,0,
196,93,2,2,4,Independent,5,4,4,4,3,0,4,3,Female,Conservative-consistent,Liberal Media,Moderate,3,4,3.625,-1,
197,94,2,2,3,Minju Party,5,2,5,3,3,0.2,4,4,Female,Conservative-consistent,Liberal Media,Liberal,2,3.5,2,0,0.7
198,95,2,2,4,Minju Party,6,2,6,2,2,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Moderate,4.66666666666667,5,2.5,0,
199,96,2,2,7,Hankuk Party,5,1,3,2,2,-0.3,4,3,Female,Conservative-consistent,Liberal Media,Conservative,1.33333333333333,6.5,5.625,0,0.8
200,98,2,2,4,Independent,7,2,4,3,4,0.2,4,4,Male,Conservative-consistent,Liberal Media,Moderate,2.66666666666667,5.5,2.625,1,
201,99,2,2,2,Minju Party,7,3,6,1,1,-0.2,2,4,Female,Conservative-consistent,Liberal Media,Liberal,6.33333333333333,7,1.375,0,0.3
202,103,2,2,3,Minju Party,3,4,4,3,3,-0.1,5,4,Female,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,5.5,2.75,0,0.4
203,105,2,2,2,Minju Party,7,3,1,1,1,0,4,4,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,7,1.375,0,0.5
204,106,2,2,2,Minju Party,7,4,5,1,1,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Liberal,5.66666666666667,7,1,0,0.4
205,110,2,2,2,Minju Party,7,4,6,1,1,-0.1,4,4,Male,Conservative-consistent,Liberal Media,Liberal,4,6,2.125,0,0.4
206,115,2,2,2,Minju Party,6,5,3,2,2,0.4,1,4,Female,Conservative-consistent,Liberal Media,Liberal,3,5.5,2,0,0.9
207,118,2,2,4,Minju Party,4,5,5,4,3,0.2,4,4,Female,Conservative-consistent,Liberal Media,Moderate,2.66666666666667,3.5,3.875,-1,
208,120,2,2,4,Minju Party,7,4,4,1,1,0,2,4,Female,Conservative-consistent,Liberal Media,Moderate,4,4,1.375,0,
209,130,2,2,5,Hankuk Party,5,3,3,4,4,-0.2,5,5,Female,Conservative-consistent,Liberal Media,Conservative,3.33333333333333,5,2.375,0,0.7
210,135,2,2,4,Hankuk Party,1,1,4,3,5,0.3,2,4,Male,Conservative-consistent,Liberal Media,Moderate,1.66666666666667,3.5,2.5,2,
211,143,2,2,3,Hankuk Party,4,4,3,4,4,-0.1,1,3,Female,Conservative-consistent,Liberal Media,Liberal,2,4.5,2,0,0.4
212,156,2,2,5,Hankuk Party,4,4,1,7,7,-0.5,1,5,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,6.5,1,0,1
213,168,2,2,5,Hankuk Party,7,1,3,7,7,-0.5,2,4,Male,Conservative-consistent,Liberal Media,Conservative,1,7,1,0,1
214,191,2,2,5,Hankuk Party,5,1,4,7,5,-0.2,1,4,Male,Conservative-consistent,Liberal Media,Conservative,1,4.5,2.5,-2,0.7
215,217,2,2,5,Hankuk Party,5,2,5,6,2,-0.5,1,3,Male,Conservative-consistent,Liberal Media,Conservative,1,5,3.125,-4,1
216,222,2,2,7,Hankuk Party,4,4,5,6,6,0.1,5,3,Female,Conservative-consistent,Liberal Media,Conservative,2.33333333333333,4,4,0,0.4
217,229,2,2,5,Hankuk Party,5,2,4,5,5,-0.2,1,4,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,6,4.25,0,0.7
218,236,2,2,7,Hankuk Party,6,3,1,7,6,-0.5,1,4,Female,Conservative-consistent,Liberal Media,Conservative,1,7,4.75,-1,1
219,241,2,2,5,Hankuk Party,3,3,4,6,4,0,1,3,Male,Conservative-consistent,Liberal Media,Conservative,1,4.5,2,-2,0.5
220,251,2,2,5,Hankuk Party,5,1,5,6,4,-0.3,1,5,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,4.5,3,-2,0.8
221,258,2,2,1,Hankuk Party,2,2,3,4,3,-0.1,1,3,Male,Conservative-consistent,Liberal Media,Liberal,1,1,2.125,-1,0.4
222,290,2,2,5,Hankuk Party,6,1,3,7,7,-0.5,1,4,Male,Conservative-consistent,Liberal Media,Conservative,1,5,3,0,1
223,294,2,2,5,Hankuk Party,5,2,3,6,5,-0.1,1,4,Male,Conservative-consistent,Liberal Media,Conservative,1,5,2.25,-1,0.6
224,301,2,2,4,Hankuk Party,6,4,1,7,7,0,1,4,Male,Conservative-consistent,Liberal Media,Moderate,1,7,1,0,
225,376,2,2,4,Hankuk Party,4,4,5,4,4,-0.1,2,4,Female,Conservative-consistent,Liberal Media,Moderate,2,2,3.625,0,
226,431,2,2,5,Hankuk Party,4,4,4,5,4,0,1,4,Female,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,5,1.5,-1,0.5
227,435,2,2,4,Hankuk Party,7,4,4,6,4,0,1,3,Female,Conservative-consistent,Liberal Media,Moderate,1,4,1,-2,
228,469,2,2,6,Hankuk Party,4,4,4,4,4,-0.1,2,4,Female,Conservative-consistent,Liberal Media,Conservative,1,6,1,0,0.6
229,527,2,2,6,Hankuk Party,7,3,4,7,4,-0.3,2,4,Female,Conservative-consistent,Liberal Media,Conservative,1,7,1.875,-3,0.8
230,599,2,2,6,Hankuk Party,7,1,1,7,6,-0.4,2,4,Female,Conservative-consistent,Liberal Media,Conservative,1,6,2,-1,0.9
231,635,2,2,3,Hankuk Party,7,4,4,4,3,0,2,5,Female,Conservative-consistent,Liberal Media,Liberal,2.33333333333333,4.5,1,-1,0.5
232,760,2,2,6,Hankuk Party,1,1,1,6,5,0.2,1,4,Female,Conservative-consistent,Liberal Media,Conservative,1,6.5,1.125,-1,0.3
233,779,2,2,3,Independent,7,2,4,2,1,-0.1,2,4,Female,Conservative-consistent,Liberal Media,Liberal,5.33333333333333,5,1.375,-1,0.4
234,782,2,2,2,Minju Party,7,5,7,3,6,0,2,5,Female,Conservative-consistent,Liberal Media,Liberal,3,5,1.125,3,0.5
235,783,2,2,4,Independent,5,3,4,5,4,0,2,4,Female,Conservative-consistent,Liberal Media,Moderate,3,4,3.5,-1,
236,784,2,2,4,Minju Party,4,4,4,3,3,-0.1,4,3,Female,Conservative-consistent,Liberal Media,Moderate,4,4.5,3.625,0,
237,785,2,2,4,Independent,7,1,5,2,1,-0.2,2,4,Female,Conservative-consistent,Liberal Media,Moderate,4,4.5,2,-1,
238,787,2,2,5,Independent,7,1,5,5,5,-0.2,2,4,Female,Conservative-consistent,Liberal Media,Conservative,2,4.5,1.75,0,0.7
239,789,2,2,3,Minju Party,5,4,4,1,1,-0.1,2,5,Female,Conservative-consistent,Liberal Media,Liberal,5.33333333333333,5,3.125,0,0.4
240,790,2,2,4,Independent,6,3,5,3,3,-0.1,1,3,Female,Conservative-consistent,Liberal Media,Moderate,3.33333333333333,3.5,3,0,
241,791,2,2,3,Minju Party,7,1,6,1,1,-0.1,1,4,Female,Conservative-consistent,Liberal Media,Liberal,4.66666666666667,5.5,1,0,0.4
242,792,2,2,4,Independent,4,4,1,4,1,0,2,1,Male,Conservative-consistent,Liberal Media,Moderate,1,4,1,-3,
243,795,2,2,4,Independent,4,5,4,4,4,0.1,1,4,Female,Conservative-consistent,Liberal Media,Moderate,3,5,3,0,
244,796,2,2,4,Hankuk Party,4,4,4,5,4,0.1,2,4,Male,Conservative-consistent,Liberal Media,Moderate,4,4,2.875,-1,
245,798,2,2,4,Independent,7,1,1,7,4,-0.5,1,4,Female,Conservative-consistent,Liberal Media,Moderate,1,4,1,-3,
246,804,2,2,4,Independent,5,4,3,4,5,0.2,1,4,Female,Conservative-consistent,Liberal Media,Moderate,4.33333333333333,5,4.375,1,
247,806,2,2,3,Minju Party,6,3,6,1,1,0,2,4,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,5,3,0,0.5
248,810,2,2,3,Minju Party,6,4,6,3,1,-0.3,1,4,Female,Conservative-consistent,Liberal Media,Liberal,3.33333333333333,4.5,1.25,-2,0.2
249,812,2,2,4,Independent,7,4,2,2,1,0,2,4,Male,Conservative-consistent,Liberal Media,Moderate,3.33333333333333,4,1,-1,
250,877,2,2,4,Hankuk Party,4,3,4,4,4,0,1,3,Male,Conservative-consistent,Liberal Media,Moderate,4,5,3.75,0,
251,906,2,2,3,Minju Party,5,5,2,1,2,0.5,2,5,Male,Conservative-consistent,Liberal Media,Liberal,3.33333333333333,6,2,1,1
252,931,2,2,2,Minju Party,4,3,3,3,3,0,1,4,Male,Conservative-consistent,Liberal Media,Liberal,4,5.5,2,0,0.5
253,965,2,2,3,Minju Party,7,1,5,1,1,-0.2,2,3,Male,Conservative-consistent,Liberal Media,Liberal,4.33333333333333,4.5,2.125,0,0.3
254,1003,2,2,5,Hankuk Party,5,1,3,7,6,-0.4,5,3,Female,Conservative-consistent,Liberal Media,Conservative,1,2,2,-1,0.9
255,1036,2,2,6,Hankuk Party,7,1,3,6,6,-0.2,5,2,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,4,2,0,0.7
256,1038,2,2,4,Minju Party,7,3,5,1,1,-0.2,4,4,Male,Conservative-consistent,Liberal Media,Moderate,4.66666666666667,5,2,0,
257,1041,2,2,5,Hankuk Party,6,1,3,6,5,-0.3,4,3,Male,Conservative-consistent,Liberal Media,Conservative,1.66666666666667,6.5,4,-1,0.8
258,1042,2,2,4,Minju Party,7,5,5,1,1,0,5,3,Male,Conservative-consistent,Liberal Media,Moderate,5.66666666666667,6.5,1.125,0,
259,1049,2,2,4,Hankuk Party,5,3,1,7,7,-0.5,3,3,Male,Conservative-consistent,Liberal Media,Moderate,1,4,3.5,0,
260,1050,2,2,4,Minju Party,6,3,3,4,4,0,3,3,Male,Conservative-consistent,Liberal Media,Moderate,3.66666666666667,4.5,2.5,0,
261,1051,2,2,4,Hankuk Party,4,4,4,5,5,0,5,4,Male,Conservative-consistent,Liberal Media,Moderate,1.66666666666667,4,3.75,0,
262,1079,2,2,6,Hankuk Party,6,1,6,7,6,0.3,4,4,Male,Conservative-consistent,Liberal Media,Conservative,1,1,4.5,-1,0.2
263,1094,2,2,6,Hankuk Party,2,2,2,6,6,-0.3,5,3,Male,Conservative-consistent,Liberal Media,Conservative,2.33333333333333,4,2,0,0.8
264,1169,2,2,4,Hankuk Party,4,2,1,7,7,-0.5,3,5,Male,Conservative-consistent,Liberal Media,Moderate,1,1,1.375,0,
265,1,3,3,3,Minju Party,7,4,4,4,4,0.5,2,4,Male,Liberal-consistent,Conservative Media,Liberal,1,7,1,0,1
266,3,3,3,5,Minju Party,7,3,2,5,6,0.5,5,3,Male,Liberal-consistent,Conservative Media,Conservative,5,5,1.75,1,0
267,4,3,3,4,Minju Party,7,5,4,4,2,0.3,2,4,Female,Liberal-consistent,Conservative Media,Moderate,4,5,4.25,-2,
268,5,3,3,4,Independent,3,3,2,4,3,0,1,4,Male,Liberal-consistent,Conservative Media,Moderate,3,4.5,3,-1,
269,6,3,3,4,Independent,3,3,4,4,4,-0.1,3,4,Female,Liberal-consistent,Conservative Media,Moderate,1,2,1,0,
270,7,3,3,6,Hankuk Party,1,5,1,1,1,0.1,5,4,Male,Liberal-consistent,Conservative Media,Conservative,1.66666666666667,1,1.125,0,0.4
271,8,3,3,7,Hankuk Party,5,1,7,2,1,0,5,5,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,6,4.5,-1,0.5
272,9,3,3,3,Minju Party,6,3,4,4,3,0,2,4,Male,Liberal-consistent,Conservative Media,Liberal,4,5,2.25,-1,0.5
273,10,3,3,3,Minju Party,7,3,4,6,5,0.5,5,4,Male,Liberal-consistent,Conservative Media,Liberal,5,5.5,5.25,-1,1
274,11,3,3,4,Independent,3,3,5,4,3,-0.1,2,3,Female,Liberal-consistent,Conservative Media,Moderate,4,4,2.625,-1,
275,12,3,3,3,Minju Party,4,4,4,4,3,0.1,3,4,Male,Liberal-consistent,Conservative Media,Liberal,3,6,4,-1,0.6
276,13,3,3,2,Minju Party,7,3,2,5,4,0.4,5,4,Male,Liberal-consistent,Conservative Media,Liberal,5.33333333333333,5.5,2,-1,0.9
277,14,3,3,5,Independent,6,2,6,2,2,0.3,4,4,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,7,3.125,0,0.2
278,15,3,3,5,Independent,4,3,5,1,1,-0.3,5,4,Female,Liberal-consistent,Conservative Media,Conservative,1,2,1.5,0,0.8
279,16,3,3,5,Independent,4,3,4,1,1,0,5,4,Female,Liberal-consistent,Conservative Media,Conservative,1,1.5,3.25,0,0.5
280,17,3,3,5,Independent,3,2,4,4,2,0.1,3,4,Female,Liberal-consistent,Conservative Media,Conservative,1,4.5,1,-2,0.4
281,18,3,3,4,Hankuk Party,6,1,7,1,1,0.1,3,4,Male,Liberal-consistent,Conservative Media,Moderate,1,4,2.25,0,
282,20,3,3,2,Hankuk Party,7,6,2,7,6,0.5,3,4,Male,Liberal-consistent,Conservative Media,Liberal,6.33333333333333,5.5,1,-1,1
283,21,3,3,4,Independent,4,5,2,3,1,0.4,5,5,Female,Liberal-consistent,Conservative Media,Moderate,2.33333333333333,6,2.625,-2,
284,22,3,3,4,Independent,4,4,4,3,1,0.2,1,4,Female,Liberal-consistent,Conservative Media,Moderate,2,4,3.125,-2,
285,23,3,3,3,Minju Party,7,2,1,5,1,0.5,4,4,Male,Liberal-consistent,Conservative Media,Liberal,5,6,2.375,-4,1
286,25,3,3,3,Minju Party,7,7,4,3,4,0.5,3,5,Female,Liberal-consistent,Conservative Media,Liberal,4,7,1,1,1
287,26,3,3,5,Minju Party,5,4,5,5,3,0.1,5,4,Female,Liberal-consistent,Conservative Media,Conservative,4.66666666666667,5,5.25,-2,0.4
288,27,3,3,5,Independent,6,1,4,1,1,0,4,3,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,1.5,1.875,0,0.5
289,29,3,3,4,Independent,4,3,5,3,3,0,2,4,Male,Liberal-consistent,Conservative Media,Moderate,2,5,3.5,0,
290,30,3,3,5,Independent,4,4,5,3,4,0.1,3,4,Male,Liberal-consistent,Conservative Media,Conservative,3.33333333333333,4,3.875,1,0.4
291,31,3,3,4,Independent,6,2,7,2,1,0.4,4,5,Female,Liberal-consistent,Conservative Media,Moderate,2,6.5,2.875,-1,
292,32,3,3,5,Independent,7,2,5,1,2,0.2,3,5,Male,Liberal-consistent,Conservative Media,Conservative,1,5.5,1.625,1,0.3
293,33,3,3,5,Independent,5,2,6,2,1,0.2,5,4,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,2.5,5.25,-1,0.3
294,35,3,3,4,Minju Party,7,1,3,5,5,-0.1,1,3,Female,Liberal-consistent,Conservative Media,Moderate,4.66666666666667,4.5,3.125,0,
295,36,3,3,4,Minju Party,7,3,3,4,4,0.4,3,5,Male,Liberal-consistent,Conservative Media,Moderate,4,4.5,1,0,
296,37,3,3,5,Hankuk Party,5,3,5,3,2,-0.1,5,3,Male,Liberal-consistent,Conservative Media,Conservative,3,4.5,4.75,-1,0.6
297,38,3,3,4,Minju Party,7,4,2,5,5,0.5,3,4,Male,Liberal-consistent,Conservative Media,Moderate,6,6,1.125,0,
298,39,3,3,4,Independent,3,3,3,3,3,0,5,3,Female,Liberal-consistent,Conservative Media,Moderate,2.33333333333333,4,4.125,0,
299,41,3,3,4,Minju Party,7,3,1,4,2,0.4,4,4,Male,Liberal-consistent,Conservative Media,Moderate,4,4,1.875,-2,
300,43,3,3,5,Hankuk Party,6,1,5,1,1,0.3,5,4,Male,Liberal-consistent,Conservative Media,Conservative,1,2.5,2.375,0,0.2
301,45,3,3,4,Independent,5,2,5,3,1,0.3,4,4,Female,Liberal-consistent,Conservative Media,Moderate,2,2.5,2.875,-2,
302,46,3,3,4,Independent,6,2,3,2,2,0,5,4,Female,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,5.5,3.125,0,
303,47,3,3,5,Independent,4,4,4,4,4,0,5,3,Female,Liberal-consistent,Conservative Media,Conservative,3.33333333333333,5,3.625,0,0.5
304,48,3,3,7,Hankuk Party,3,1,5,1,1,0.2,5,3,Female,Liberal-consistent,Conservative Media,Conservative,1,6,1.875,0,0.3
305,49,3,3,6,Independent,5,2,4,1,1,0.1,4,3,Female,Liberal-consistent,Conservative Media,Conservative,1,6,2.375,0,0.4
306,50,3,3,2,Minju Party,7,4,3,5,5,0.5,4,3,Female,Liberal-consistent,Conservative Media,Liberal,4,5.5,1.5,0,1
307,51,3,3,4,Independent,4,4,5,5,5,0.2,5,3,Male,Liberal-consistent,Conservative Media,Moderate,4.33333333333333,5,4.25,0,
308,52,3,3,4,Minju Party,5,5,3,4,3,-0.2,2,4,Male,Liberal-consistent,Conservative Media,Moderate,1.66666666666667,6,2.125,-1,
309,53,3,3,3,Minju Party,7,2,4,4,4,-0.1,4,4,Male,Liberal-consistent,Conservative Media,Liberal,3.33333333333333,5,2.125,0,0.4
310,54,3,3,4,Minju Party,4,4,4,5,4,0,2,5,Male,Liberal-consistent,Conservative Media,Moderate,4,4.5,4.125,-1,
311,57,3,3,3,Minju Party,4,4,4,4,4,0,1,4,Male,Liberal-consistent,Conservative Media,Liberal,4,5.5,3,0,0.5
312,58,3,3,4,Independent,6,6,3,4,4,0.3,2,3,Female,Liberal-consistent,Conservative Media,Moderate,4.33333333333333,6.5,2.125,0,
313,60,3,3,4,Independent,4,1,1,1,1,-0.5,5,4,Female,Liberal-consistent,Conservative Media,Moderate,1,7,1.5,0,
314,62,3,3,4,Minju Party,7,4,1,1,3,0.5,3,4,Female,Liberal-consistent,Conservative Media,Moderate,3,5,1.25,2,
315,63,3,3,4,Independent,3,2,4,3,4,-0.1,3,3,Female,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,3,2.5,1,
316,64,3,3,4,Independent,5,5,4,3,1,0,2,4,Female,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,2,2.375,-2,
317,65,3,3,6,Independent,3,3,3,3,3,-0.1,3,4,Female,Liberal-consistent,Conservative Media,Conservative,3.33333333333333,5,2.625,0,0.6
318,66,3,3,4,Independent,5,4,5,1,1,0.1,3,5,Female,Liberal-consistent,Conservative Media,Moderate,1.66666666666667,5.5,3.25,0,
319,67,3,3,3,Minju Party,7,3,4,1,1,0.4,4,4,Male,Liberal-consistent,Conservative Media,Liberal,1,1.5,1.25,0,0.9
320,68,3,3,4,Independent,5,3,5,2,3,0.2,4,4,Female,Liberal-consistent,Conservative Media,Moderate,1.66666666666667,3.5,2.625,1,
321,69,3,3,4,Independent,7,5,3,5,5,-0.5,1,4,Female,Liberal-consistent,Conservative Media,Moderate,4,6.5,1,0,
322,71,3,3,4,Minju Party,4,3,5,5,2,-0.1,3,4,Female,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,3,3.125,-3,
323,72,3,3,4,Independent,6,3,4,1,1,0,4,4,Male,Liberal-consistent,Conservative Media,Moderate,1.33333333333333,2,1.125,0,
324,73,3,3,4,Independent,6,2,4,1,6,0.2,4,4,Female,Liberal-consistent,Conservative Media,Moderate,1,6,2.125,5,
325,75,3,3,4,Minju Party,5,4,5,5,3,0,3,4,Male,Liberal-consistent,Conservative Media,Moderate,3,5,1.625,-2,
326,76,3,3,6,Hankuk Party,6,1,6,1,1,0.1,5,3,Male,Liberal-consistent,Conservative Media,Conservative,1,6.5,5.25,0,0.4
327,77,3,3,3,Minju Party,7,6,1,6,6,0.5,3,4,Male,Liberal-consistent,Conservative Media,Liberal,6,5,1.25,0,1
328,78,3,3,5,Independent,7,1,1,1,4,0.5,1,3,Male,Liberal-consistent,Conservative Media,Conservative,1.66666666666667,4.5,1,3,0
329,79,3,3,4,Independent,4,4,2,4,1,-0.2,5,3,Female,Liberal-consistent,Conservative Media,Moderate,1,6.5,2.5,-3,
330,80,3,3,6,Independent,4,4,3,3,3,-0.1,5,3,Female,Liberal-consistent,Conservative Media,Conservative,3.33333333333333,5,1.625,0,0.6
331,81,3,3,2,Minju Party,7,4,3,4,4,0.2,3,4,Male,Liberal-consistent,Conservative Media,Liberal,5,6,1.75,0,0.7
332,86,3,3,6,Hankuk Party,4,3,1,1,1,-0.2,4,5,Female,Liberal-consistent,Conservative Media,Conservative,1,5.5,1,0,0.7
333,87,3,3,6,Hankuk Party,4,1,6,1,1,0.2,5,5,Male,Liberal-consistent,Conservative Media,Conservative,1,7,1.625,0,0.3
334,93,3,3,4,Minju Party,3,4,4,4,4,0,1,4,Female,Liberal-consistent,Conservative Media,Moderate,4,4.5,3,0,
335,98,3,3,4,Minju Party,4,4,4,4,4,0,2,4,Male,Liberal-consistent,Conservative Media,Moderate,4,4,2,0,
336,101,3,3,4,Minju Party,4,4,4,4,5,0,3,5,Female,Liberal-consistent,Conservative Media,Moderate,4,4,3.5,1,
337,103,3,3,4,Minju Party,7,2,4,5,5,0.1,4,4,Male,Liberal-consistent,Conservative Media,Moderate,4.33333333333333,5,4.25,0,
338,104,3,3,3,Minju Party,7,4,3,5,5,0.2,1,3,Female,Liberal-consistent,Conservative Media,Liberal,4.66666666666667,4.5,2,0,0.7
339,108,3,3,4,Minju Party,7,6,4,5,6,0.2,2,4,Male,Liberal-consistent,Conservative Media,Moderate,1.33333333333333,5.5,2.125,1,
340,112,3,3,2,Minju Party,7,5,2,6,6,0,2,4,Male,Liberal-consistent,Conservative Media,Liberal,6,6,1,0,0.5
341,117,3,3,5,Hankuk Party,6,2,5,1,1,0.2,3,4,Female,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,6.5,1.875,0,0.3
342,118,3,3,5,Hankuk Party,5,2,5,1,1,-0.5,4,4,Male,Liberal-consistent,Conservative Media,Conservative,1,1,2.375,0,1
343,121,3,3,4,Minju Party,6,4,4,4,5,0.3,4,3,Female,Liberal-consistent,Conservative Media,Moderate,5,5.5,2.375,1,
344,122,3,3,6,Hankuk Party,7,1,4,2,1,0.1,1,3,Female,Liberal-consistent,Conservative Media,Conservative,1,6,1.375,-1,0.4
345,125,3,3,2,Minju Party,7,3,2,4,2,0.3,2,4,Female,Liberal-consistent,Conservative Media,Liberal,3.33333333333333,3,1.875,-2,0.8
346,132,3,3,4,Minju Party,5,5,4,4,3,0.2,2,3,Male,Liberal-consistent,Conservative Media,Moderate,4,4,1.125,-1,
347,181,3,3,5,Hankuk Party,5,3,5,1,1,0.1,2,4,Male,Liberal-consistent,Conservative Media,Conservative,1,4,1,0,0.4
348,185,3,3,5,Hankuk Party,5,1,4,2,2,0.2,1,4,Male,Liberal-consistent,Conservative Media,Conservative,2,5.5,1.75,0,0.3
349,229,3,3,6,Hankuk Party,3,4,4,5,5,0.1,1,4,Male,Liberal-consistent,Conservative Media,Conservative,2.33333333333333,4.5,4.75,0,0.4
350,237,3,3,6,Hankuk Party,5,3,4,2,3,0,1,5,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,4,4,1,0.5
351,239,3,3,5,Hankuk Party,4,3,4,4,4,-0.1,1,4,Female,Liberal-consistent,Conservative Media,Conservative,3.66666666666667,4,4,0,0.6
352,284,3,3,2,Hankuk Party,1,1,4,4,4,0,2,5,Female,Liberal-consistent,Conservative Media,Liberal,2,7,1.75,0,0.5
353,287,3,3,7,Hankuk Party,7,1,7,1,1,0.5,2,5,Female,Liberal-consistent,Conservative Media,Conservative,1,6.5,3.25,0,0
354,295,3,3,4,Hankuk Party,2,2,5,3,5,0.1,1,4,Male,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,6,2.25,2,
355,297,3,3,4,Hankuk Party,2,3,5,4,4,0.1,1,3,Male,Liberal-consistent,Conservative Media,Moderate,4,4,2.875,0,
356,322,3,3,4,Hankuk Party,4,4,4,3,3,-0.1,1,3,Male,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,3,3,0,
357,331,3,3,5,Hankuk Party,3,3,5,1,1,0,2,5,Female,Liberal-consistent,Conservative Media,Conservative,1.66666666666667,6.5,3.5,0,0.5
358,347,3,3,4,Hankuk Party,3,3,4,4,4,-0.1,1,4,Male,Liberal-consistent,Conservative Media,Moderate,1.66666666666667,4,3.5,0,
359,374,3,3,5,Hankuk Party,5,3,4,2,2,0.2,4,4,Male,Liberal-consistent,Conservative Media,Conservative,2,3.5,2.125,0,0.3
360,380,3,3,4,Hankuk Party,5,3,6,1,1,0.3,4,5,Male,Liberal-consistent,Conservative Media,Moderate,1,6,6,0,
361,449,3,3,4,Hankuk Party,4,4,4,3,4,-0.1,2,4,Female,Liberal-consistent,Conservative Media,Moderate,1.33333333333333,4.5,2.625,1,
362,504,3,3,5,Hankuk Party,3,3,2,2,2,-0.3,2,4,Female,Liberal-consistent,Conservative Media,Conservative,1,6,1.875,0,0.8
363,539,3,3,5,Minju Party,7,4,2,5,5,-0.2,1,4,Female,Liberal-consistent,Conservative Media,Conservative,4.33333333333333,4,1,0,0.7
364,540,3,3,5,Independent,7,1,6,2,1,0,1,4,Male,Liberal-consistent,Conservative Media,Conservative,2,5,2.625,-1,0.5
365,541,3,3,5,Hankuk Party,5,2,6,1,1,0,3,5,Female,Liberal-consistent,Conservative Media,Conservative,1,3,1,0,0.5
366,542,3,3,1,Minju Party,7,1,1,7,7,0.5,4,4,Male,Liberal-consistent,Conservative Media,Liberal,7,7,1,0,1
367,543,3,3,2,Minju Party,7,2,1,5,5,0.5,1,4,Female,Liberal-consistent,Conservative Media,Liberal,5.66666666666667,5.5,1,0,1
368,544,3,3,2,Minju Party,7,7,3,7,5,-0.3,4,3,Female,Liberal-consistent,Conservative Media,Liberal,4.33333333333333,5,1.875,-2,0.2
369,545,3,3,3,Minju Party,6,5,5,5,3,0.1,1,4,Female,Liberal-consistent,Conservative Media,Liberal,4,5,1,-2,0.6
370,546,3,3,1,Minju Party,7,4,4,5,4,0.1,2,4,Female,Liberal-consistent,Conservative Media,Liberal,4,3.5,1.75,-1,0.6
371,547,3,3,3,Minju Party,3,3,4,4,4,0,2,4,Female,Liberal-consistent,Conservative Media,Liberal,3.33333333333333,5,2.5,0,0.5
372,548,3,3,4,Independent,4,4,4,4,4,0,1,4,Male,Liberal-consistent,Conservative Media,Moderate,2,6,2.75,0,
373,549,3,3,5,Independent,6,2,4,3,3,0.2,1,3,Male,Liberal-consistent,Conservative Media,Conservative,2,5,3,0,0.3
374,550,3,3,2,Minju Party,7,4,1,6,5,0.5,2,3,Female,Liberal-consistent,Conservative Media,Liberal,6,6.5,1,-1,1
375,551,3,3,2,Minju Party,7,4,2,6,5,0.3,4,5,Female,Liberal-consistent,Conservative Media,Liberal,4.66666666666667,5.5,1.125,-1,0.8
